id,population,centroid.size_femur,centroid.size_tibia,centroid.size_pretarsus,centroid.size_claw
DBAY_T573,DBAY,9.129950738,9.043034379,5.29964422,3.993927035
DBAY_T600,DBAY,8.587616397,8.956412191,5.48190514,4.060934903
DBAY_T601,DBAY,8.846690934,9.40715654,5.266401416,3.953580852
DBAY_T605,DBAY,8.994233948,9.159201318,5.488191705,3.966336039
DBAY_T608,DBAY,8.844866081,8.64464573,5.099486658,3.611913466
DBAY_T609,DBAY,8.614623912,8.777836025,5.436526505,3.868650719
DBAY_T615_l,DBAY,8.508684089,8.76652206,5.274857495,3.497885692
DBAY_T617,DBAY,8.941932926,8.744329403,5.326292273,3.811362849
DBAY_T618,DBAY,9.150253892,9.274155809,5.524926135,3.987686678
DBAY_T619,DBAY,9.089221833,8.908772787,5.1948085,3.602454445
DBAY_T624,DBAY,9.004902748,9.428945744,5.655358808,4.010806901
DBAY_T626,DBAY,8.811757629,8.823744568,5.322042102,3.867790754
DBAY_T633,DBAY,8.45684343,8.275760148,5.004104428,3.398380891
EBAY_#1,EBAY,8.555021201,8.416840633,5.168903948,3.545112784
EBAY_#10,EBAY,NA,8.511028741,4.900838969,3.323759574
EBAY_#11,EBAY,8.040538602,8.003634953,4.586658822,3.183688598
EBAY_#12,EBAY,8.269116844,8.036200349,4.934821925,3.373006829
EBAY_#13,EBAY,8.299923818,8.258046921,4.991883837,3.552142252
EBAY_#14,EBAY,7.824480497,7.763256221,4.508196454,3.066195147
EBAY_#15,EBAY,8.316414764,8.50093796,4.821384202,3.326999303
EBAY_#16,EBAY,8.027159468,8.117169588,4.908592889,3.239381001
EBAY_#2,EBAY,8.03094494,7.822149276,4.631434633,3.118948081
EBAY_#3,EBAY,8.614004733,8.502630504,4.997449099,3.489866743
EBAY_#4,EBAY,8.382131863,8.155322133,5.012653817,3.411847609
EBAY_#5,EBAY,8.190947345,8.273553519,4.675563048,3.16695107
EBAY_#6,EBAY,8.040169312,8.329728008,4.781324311,3.316564721
EBAY_#7,EBAY,8.405863896,8.305221254,5.056522794,3.360015059
EBAY_#8,EBAY,8.359787632,8.438581401,4.915706493,3.420139075
EBAY_#9,EBAY,8.183097549,8.054375653,NA,NA
EBAY_107.2,EBAY,8.454552165,8.428899453,4.772103298,3.359351448
EBAY_107.3,EBAY,8.609985999,8.585838993,4.803067953,NA
EBAY_107.4,EBAY,8.803137702,8.531848803,4.981627822,3.438839735
EBAY_107.5,EBAY,8.628855758,8.664952333,4.898310683,3.34242225
EBAY_107.6,EBAY,8.224089373,8.471591916,4.67116461,3.09577695
EBAY_E1,EBAY,8.503018282,8.345189449,4.800016105,3.409991436
EBAY_E10,EBAY,8.490934846,8.054742089,5.008751462,3.203750586
EBAY_E106,EBAY,8.231842753,8.553156135,4.946287574,3.338082299
EBAY_E119,EBAY,8.108573189,8.062403233,4.823475354,3.36032718
EBAY_E120,EBAY,7.815176228,7.891882022,4.712274488,3.283141312
EBAY_E13,EBAY,8.093393896,8.18861344,4.807003498,3.427884956
EBAY_E132,EBAY,8.187309233,8.44516231,5.037704941,3.527096318
EBAY_E16,EBAY,8.367430997,8.700315081,4.999297887,3.501504531
EBAY_E17,EBAY,8.453653561,8.721170348,5.101243097,3.610357672
EBAY_E20,EBAY,8.258805527,8.225969147,NA,NA
EBAY_E200,EBAY,8.726330346,8.681350852,5.176915264,3.626233546
EBAY_E201,EBAY,8.37508144,8.334784054,NA,NA
EBAY_E202,EBAY,8.901099862,8.797469947,5.156968143,3.349895161
EBAY_E203,EBAY,8.321437259,8.488138655,4.866476158,3.462974062
EBAY_E204,EBAY,7.678727634,7.756612737,4.647804324,3.106871657
EBAY_E21,EBAY,7.89662237,7.76992839,4.292107753,2.979827239
EBAY_E222,EBAY,8.089952594,8.138824847,5.166803487,3.281754647
EBAY_E227,EBAY,7.338928949,7.523092255,4.355533289,2.964781504
EBAY_E23,EBAY,7.809989132,7.942233497,4.707388831,3.258071277
EBAY_E25,EBAY,8.128547436,8.035424041,4.820463641,3.585275542
EBAY_E27,EBAY,8.085741976,8.297212817,4.607693169,3.234079187
EBAY_E28,EBAY,8.337830306,8.49560246,4.941714491,NA
EBAY_E29,EBAY,7.563070945,7.778729682,4.505174397,3.115502168
EBAY_E298,EBAY,8.338114406,8.198177164,5.138573114,3.525538994
EBAY_E31,EBAY,NA,8.436198044,4.895500762,3.414428488
EBAY_E32,EBAY,8.129192199,8.327917572,4.983199805,3.562697977
EBAY_E33,EBAY,8.24732975,8.200873381,4.830878367,3.306978036
EBAY_E34,EBAY,8.079617602,8.450637645,4.968712711,3.628858984
EBAY_E35,EBAY,8.485290975,8.469408473,5.03746601,3.594801342
EBAY_E38,EBAY,NA,8.018136496,4.543307077,3.094942359
EBAY_E39,EBAY,8.715894095,8.649952863,5.024491376,3.516315432
EBAY_E4,EBAY,8.503539361,8.434437088,4.946467775,3.439496424
EBAY_E40,EBAY,8.675095771,8.604152579,5.040917853,3.804898326
EBAY_E41,EBAY,8.041468783,8.17440253,5.013909582,3.208667567
EBAY_E43,EBAY,8.654022951,8.654597045,5.225977804,3.789887455
EBAY_E45,EBAY,8.362650779,8.251334362,4.844300954,3.395018225
EBAY_E46,EBAY,8.354983367,8.151230209,5.2947239,3.36589386
EBAY_E47,EBAY,8.483126114,8.62991962,5.091833527,3.569091868
EBAY_E49,EBAY,8.056504185,8.16027284,4.895053516,3.403957548
EBAY_E5,EBAY,8.458329431,8.823158039,4.978055598,3.490742324
EBAY_E51,EBAY,8.033607849,8.309829222,4.633223765,3.232109583
EBAY_E52,EBAY,8.240833263,8.365080646,4.468502303,2.967232764
EBAY_E53,EBAY,8.608651458,8.399518738,4.89224856,3.202920999
EBAY_E540,EBAY,8.134966677,7.960556599,4.778428209,3.41013865
EBAY_E58,EBAY,8.192980912,8.234973239,4.709811456,3.334491619
EBAY_E6,EBAY,8.412214359,8.147101323,4.883975509,3.358545474
EBAY_E61,EBAY,8.054645224,7.863494558,4.519169024,3.014356456
EBAY_E63,EBAY,NA,8.646644665,NA,NA
EBAY_E67,EBAY,8.353328301,8.049592452,4.847449738,3.477714613
EBAY_E68,EBAY,7.591591921,7.619832202,NA,NA
EBAY_E70,EBAY,8.155580797,8.117031445,4.848222501,3.21777456
EBAY_E71,EBAY,8.655818897,8.41823258,4.951910833,3.388245755
EBAY_E72.1,EBAY,8.101276265,8.144977138,4.571142795,3.283382943
EBAY_E72.2,EBAY,7.939459604,8.46453997,4.703276517,3.407463025
EBAY_E74,EBAY,8.437792725,8.75226577,5.136500365,3.498800623
EBAY_E75,EBAY,8.065028388,7.896549415,4.840161254,3.344177354
EBAY_E77,EBAY,8.163587887,8.051508604,4.609609938,2.990848909
EBAY_E78,EBAY,8.5579203,8.668824158,5.076797597,3.764813717
EBAY_E8,EBAY,8.046443887,8.072261807,4.489163364,3.202503413
EBAY_E82,EBAY,8.62457497,8.521470104,4.983706966,3.370406139
EBAY_E84,EBAY,8.00398597,8.111648689,5.008619314,3.292662982
EBAY_E85,EBAY,8.402841527,8.363861626,4.835485411,3.411042275
EBAY_E87,EBAY,8.263940218,8.315201278,4.75380069,3.279911438
EBAY_E88,EBAY,8.725172145,8.689726762,5.161066412,3.766273743
EBAY_E89,EBAY,7.523196118,8.010489471,4.743343796,3.411478785
EBAY_E91,EBAY,8.076785979,7.893770662,4.618472358,3.006609135
EBAY_E92,EBAY,7.479083366,7.58645169,4.265785215,2.915118229
EBAY_E95,EBAY,8.340690396,8.21252186,4.970727237,3.127942512
EBAY_E96,EBAY,8.11257847,8.033245685,4.692017712,3.465768493
EBAY_E97,EBAY,8.268921743,8.338833013,4.89118845,3.652301163
HLGT_257,HLGT,8.066150733,8.58358841,4.801229972,3.130297316
HLGT_A102,HLGT,8.698009032,9.15144237,4.905474752,3.42921028
HLGT_A111,HLGT,8.278393902,8.780587423,4.309784341,3.139759457
HLGT_A200,HLGT,8.2830822,8.753856782,5.118989727,3.241276188
HLGT_A203,HLGT,8.566485362,8.98911308,4.940791775,3.334680351
HLGT_A204,HLGT,8.741845032,9.09950084,4.789139436,3.319624102
HLGT_A205,HLGT,8.592177061,9.152742245,4.96502804,3.432773937
HLGT_A205,HLGT,8.253448301,NA,NA,NA
HLGT_A219,HLGT,7.893167141,8.369366221,4.550940254,2.953659429
HLGT_A222,HLGT,8.340404302,9.105151501,4.932533597,3.395118354
HLGT_A223,HLGT,8.862003703,9.022636088,5.122733939,3.19372719
HLGT_A224,HLGT,8.177488898,8.469683057,4.754381613,3.510127387
HLGT_A225,HLGT,8.558106062,9.128365971,5.039786268,3.305849297
HLGT_A227,HLGT,8.174990245,8.806313238,4.719318314,3.213427049
HLGT_A228,HLGT,8.687787351,8.702772822,4.770351747,3.169251565
HLGT_A232,HLGT,8.368251116,NA,NA,NA
HLGT_A232,HLGT,NA,9.328412979,5.225265929,3.551202056
HLGT_A238,HLGT,8.363566359,8.684672755,4.957019847,3.289504393
HLGT_A240,HLGT,8.047699721,8.29248244,4.590111013,3.00430483
HLGT_A243,HLGT,8.247044581,8.470288733,4.71283695,3.000092865
HLGT_A247,HLGT,8.362037671,NA,NA,NA
HLGT_A247,HLGT,NA,8.743260793,4.933326613,3.180836688
HLGT_A254,HLGT,8.226874376,8.844670156,5.002429586,3.143980805
HLGT_A255,HLGT,8.637503843,9.125469067,5.193832633,3.721669399
HLGT_A256,HLGT,8.57855522,8.541638893,4.7923498,3.127966568
HLGT_A258,HLGT,7.717728737,8.368093875,4.571460177,2.94369312
HLGT_A260,HLGT,8.230024193,8.527972976,4.699658076,2.987254845
HLGT_A260,HLGT,7.902567149,NA,NA,NA
HLGT_A260,HLGT,NA,8.555342605,4.69997384,3.093739004
HLGT_A264,HLGT,8.949822288,9.120063362,5.21080408,3.497955188
HLGT_A267,HLGT,8.405639238,8.861194275,4.927203085,NA
